ID_Client,Nom,Sexe,Age,Ville,Profession,Anciennete,Revenu_Mensuel,Agence
1001,Client_1,M,22,Yamoussoukro,Commerçant,4,735264.0,Plateau
1002,Client_2,M,58,San Pedro,Cadre,1,542986.0,Cocody
1003,Client_3,M,53,Korhogo,Cadre,9,983985.0,Bouaké
1004,Client_4,M,49,Korhogo,Fonctionnaire,13,177257.0,Cocody
1005,Client_5,F,42,Yamoussoukro,Commerçant,4,1561779.0,Plateau
1006,Client_6,M,45,Abidjan,,14,1592654.0,Yopougon
1007,Client_7,M,50,Korhogo,Cadre,15,1737688.0,Plateau
1008,Client_8,F,60,Yamoussoukro,Étudiant,4,441735.0,Plateau
1009,Client_9,M,39,Abidjan,Commerçant,14,573630.0,Bouaké
1010,Client_10,F,50,Yamoussoukro,Commerçant,6,1640113.0,Cocody
1011,Client_11,F,25,Korhogo,Commerçant,9,1176811.0,Cocody
1012,Client_12,F,45,Yamoussoukro,Étudiant,4,1510140.0,Plateau
1013,Client_13,M,23,Yamoussoukro,Entrepreneur,5,427615.0,Cocody
1014,Client_14,F,34,San Pedro,Entrepreneur,15,2074564.0,Cocody
1015,Client_15,F,29,Bouaké,Étudiant,9,1252018.0,Bouaké
1016,Client_16,F,44,Bouaké,Commerçant,9,2219955.0,Plateau
1017,Client_17,M,28,Bouaké,Commerçant,13,1920667.0,Plateau
1018,Client_18,F,45,Korhogo,Entrepreneur,9,1204507.0,Plateau
1019,Client_19,M,55,Yamoussoukro,Fonctionnaire,2,1381028.0,Bouaké
1020,Client_20,M,50,Abidjan,Fonctionnaire,9,899320.0,Plateau
1021,Client_21,F,53,Korhogo,Commerçant,3,,Cocody
1022,Client_22,M,59,Yamoussoukro,Entrepreneur,1,619207.0,Yopougon
1023,Client_23,F,36,Abidjan,Commerçant,15,480331.0,Plateau
1024,Client_24,F,25,Korhogo,Commerçant,3,2143478.0,Cocody
1025,Client_25,F,54,Korhogo,Entrepreneur,4,2411971.0,Cocody
1026,Client_26,F,46,Yamoussoukro,Entrepreneur,15,2320870.0,Bouaké
1027,Client_27,M,36,Bouaké,Cadre,6,238224.0,Cocody
1028,Client_28,M,21,Abidjan,Cadre,4,432697.0,Plateau
1029,Client_29,F,25,Korhogo,Commerçant,5,2185975.0,Cocody
1030,Client_30,M,57,Korhogo,Entrepreneur,4,2133792.0,Bouaké
1031,Client_31,M,27,Abidjan,Entrepreneur,6,1926617.0,Bouaké
1032,Client_32,F,24,Abidjan,Cadre,7,1573138.0,Plateau
1033,Client_33,M,33,Bouaké,Étudiant,8,737967.0,Bouaké
1034,Client_34,M,38,San Pedro,Commerçant,14,466187.0,Bouaké
1035,Client_35,M,24,Korhogo,Cadre,2,1141447.0,Cocody
1036,Client_36,F,52,San Pedro,Commerçant,14,1832084.0,Plateau
1037,Client_37,M,45,Abidjan,Entrepreneur,5,2058443.0,Yopougon
1038,Client_38,F,56,San Pedro,Commerçant,4,1394482.0,Cocody
1039,Client_39,M,58,Korhogo,Cadre,12,1465353.0,Plateau
1040,Client_40,M,58,San Pedro,Étudiant,15,2377704.0,Cocody
1041,Client_41,M,53,Abidjan,Commerçant,2,435048.0,Cocody
1042,Client_42,F,28,Korhogo,Commerçant,10,316688.0,Plateau
1043,Client_43,F,58,Korhogo,Étudiant,6,1243730.0,Cocody
1044,Client_44,F,36,Yamoussoukro,Entrepreneur,3,1408278.0,Bouaké
1045,Client_45,F,25,Abidjan,Entrepreneur,10,569351.0,Plateau
1046,Client_46,M,53,Yamoussoukro,Commerçant,15,1613849.0,Plateau
1047,Client_47,M,44,Yamoussoukro,Commerçant,8,2428421.0,Yopougon
1048,Client_48,M,56,Yamoussoukro,Cadre,15,713257.0,Yopougon
1049,Client_49,M,27,Korhogo,Commerçant,5,1331771.0,Cocody
1050,Client_50,F,34,Yamoussoukro,Étudiant,8,1203278.0,Plateau
1051,Client_51,M,48,Yamoussoukro,Cadre,1,1549037.0,Cocody
1052,Client_52,F,31,San Pedro,Étudiant,12,1943848.0,Plateau
1053,Client_53,M,25,Bouaké,Étudiant,1,1698604.0,Cocody
1054,Client_54,F,29,Abidjan,Fonctionnaire,6,317331.0,Yopougon
1055,Client_55,M,36,Abidjan,Fonctionnaire,13,2498321.0,Bouaké
1056,Client_56,M,36,Bouaké,Commerçant,15,1879288.0,Plateau
1057,Client_57,M,42,San Pedro,Commerçant,5,817724.0,Plateau
1058,Client_58,F,23,San Pedro,Commerçant,4,2080651.0,Yopougon
1059,Client_59,F,35,Bouaké,Cadre,11,960045.0,Bouaké
1060,Client_60,F,38,Abidjan,Fonctionnaire,6,2286602.0,Bouaké
1061,Client_61,F,22,Abidjan,Fonctionnaire,3,1263446.0,Plateau
1062,Client_62,M,59,San Pedro,Fonctionnaire,12,1465658.0,Bouaké
1063,Client_63,M,45,Korhogo,Commerçant,5,336170.0,Bouaké
1064,Client_64,M,54,Korhogo,Commerçant,6,1958992.0,Plateau
1065,Client_65,F,60,Yamoussoukro,Cadre,12,1409642.0,Yopougon
1066,Client_66,F,41,San Pedro,Fonctionnaire,9,683883.0,Cocody
1067,Client_67,F,45,Bouaké,Étudiant,10,1412275.0,Bouaké
1068,Client_68,M,40,Yamoussoukro,Commerçant,7,1501611.0,Bouaké
1069,Client_69,F,49,Bouaké,Étudiant,8,861737.0,Plateau
1070,Client_70,F,53,Korhogo,Fonctionnaire,2,1135110.0,Yopougon
1071,Client_71,M,33,Bouaké,Cadre,1,1176944.0,Bouaké
1072,Client_72,M,50,San Pedro,Étudiant,4,1760522.0,Bouaké
1073,Client_73,F,36,Bouaké,Cadre,15,597059.0,Bouaké
1074,Client_74,M,32,Korhogo,Entrepreneur,1,2487929.0,Cocody
1075,Client_75,M,50,Bouaké,Entrepreneur,11,2377728.0,Yopougon
1076,Client_76,F,60,Korhogo,Entrepreneur,14,2447941.0,Bouaké
1077,Client_77,M,51,San Pedro,Fonctionnaire,13,1186998.0,Yopougon
1078,Client_78,F,36,Yamoussoukro,Entrepreneur,2,1348430.0,Cocody
1079,Client_79,F,42,Yamoussoukro,Étudiant,2,730382.0,Cocody
1080,Client_80,M,45,Bouaké,Commerçant,2,1890082.0,Bouaké
1081,Client_81,F,55,San Pedro,Entrepreneur,1,1017526.0,Bouaké
1082,Client_82,F,58,Abidjan,Étudiant,7,2150598.0,Plateau
1083,Client_83,F,40,San Pedro,Entrepreneur,9,2440644.0,Cocody
